,tweet_id,tweet_text,AR,MB
318,1401609997067460614,"Seventy-seven years ago, courageous American servicemembers landed on the beaches and fields of Normandy to liberate Europe from tyranny and evil. Today, we recognize and honor the brave heroes of #DDay, those who fought to ensure our freedom, and who saved the world. https://t.co/vHQZxJQS9z",3,3
1997,346780894188679168,This erratic rule-making is totally unacceptable. My Gulf of Mexico Red Snapper Conservation Act fixes this: http://t.co/qQXSKieZI8,2,2
3217,1080643252540395520,"Senate confirms U.S. ambassadors to Australia, Yemen, Kenya, Azerbaijan, Central African Republic, Tunisia, Cyprus, Botswana, Mali, Republic of Guinea, Kazakhstan, Madagascar, Gambia, Mozambique, Benin, Republic of Equatorial Guinea, Mongolia, Guyana, and Bosnia and Herzegovina",2,2
982,676833741503787008,Joined my Kansas colleagues in protesting President Obama’s proposal to transfer #Gitmo terrorists to our backyards. https://t.co/uIEwBtliz4,2,1
452,1451640217446854656,Trump-appointed justices refused to block Texas's extreme abortion ban AGAIN. Millions of Americans can't exercise their constitutionally protected right to critical health care. We must pass the #WHPA and protect our reproductive freedom. https://t.co/AzEQHFKX7M,1,1
2969,909829531153944576,Small businesses keep our economy growing in NV. It's critical we support them. More from my visit w/ @RSChamberNV: https://t.co/N7IPJXjbIv,1,1
3005,1080132471063306244,More gamesmanship: Ds Try to Box In Trump Without Wall Funding - The New York Times https://t.co/9EsNdsDWGY,1,1
2281,908718424670572545,.@BetsyDeVosED should not roll back student loan protections and she should reverse her decision: https://t.co/8QEZjnx9Ej https://t.co/AO7UsHFco8,1,1
2776,909467990957215744,The Perkins Loan Program is worth fighting for. I urge my Senate colleagues to join us in this bipartisan effort. https://t.co/YHxJjJMDTU,2,2
990,707677950725001216,Talked about the benefits of bicycling for ND communities w/NDans 🚴🏼 #NBS16 https://t.co/T4xXZqMJvi,3,3
573,461211850026536962,Working through @SenateApprops to provide #RI w/ opportunities to strengthen our research capabilities &amp; advance technological innovation.,2,2
2379,908753207819669504,"Engaging more young girls, women &amp; minorities in the STEM fields is critical to the future of our economy. Read more https://t.co/cfXrVyZx8T https://t.co/eIt85jommO",1,1
973,589113274454712321,"Congrats to Tennessee’s 2015 Assistant Principal of the Year, Nivia Serrano, from @SiegelHighStars in Murfreesboro http://t.co/ydSehaPsYP",3,3
948,580810747992809473,"RT @SenJohnThune: I reintroduced a bill today permanently abolishing the 99 year old Death Tax. #DeathTaxRepeal
http://t.co/MH6mxMZfrd http…",2,2
2244,908699460166754310,@BetsyDeVosED @CFPB @CFPB oversight protects students from predatory lenders &amp; other bad actors - this decision leaves them at the mercy of shady corporations.,1,1
365,1344991772569690113,"Put your shoes on and get ready, Georgia!

If we stand together, we will win the future together. #VoteWarnock https://t.co/wBwmkLgfBy",3,3
463,424635344240517120,UNmen beat Missouri St 94/89,3,3
2625,909083320616701953,RT @TFRW: We are already having a blast at @NFRW Convention in Philadelphia! #TFRWLeads https://t.co/wITOPY0eP0,3,3
1320,776801329914142720,"Building on a double-digit lead, #GrassleyWorks announces 238 county chairs + 99 counties = grassroots leadership. https://t.co/vaFikrIt3T",3,3
1289,796789984246304768,In just a few minutes I'll be speaking about President-Elect Trump &amp; our Democratic agenda moving forward at the @AFLCIO. Watch live here. https://t.co/vy5oh4TOeF,3,3
335,1416145538211356678,The National Guard still hasn't been reimbursed for its efforts to defend our nation's Capitol on January 6th. I'm pushing Senate leadership to act quickly so that the NH National Guard has the resources it needs for future trainings and missions.,1,1
514,423232791023599616,Hoosiers and people across the country are fed up with the dysfunction of Harry Reid’s Senate and deserve better http://t.co/iXVAfdF2Rm,3,1
1752,1041396258479464450,Educators know who they can trust! Pat Morrisey tried to silence teachers and school service personnel speaking out for a better quality of life. #WVSen #55United https://t.co/mybsiDKXxD,1,1
1525,1015231524159909888,"With each passing year, we recognize the wisdom and grace that characterized Nancy Reagan. A woman for her time, a woman for our time. https://t.co/Tk4XTipIet",3,3
2459,908779807823065089,"Chelsey sees that patients are finally able to access quality, affordable care under the #ACA. Let’s keep it that way. #OregonACAStory https://t.co/wGyKTKu7zY",1,1
1502,985951393025536007,Like all Americans I’m sending my prayers to former First Lady Barbara Bush and the entire Bush family.,3,3
3459,1080950959243694082,I want to congratulate the House for holding hearings for the first time on Medicare for all. I’m confident the results will show that Medicare for all is the way forward if we want to guarantee heath care to all people in a cost-effective way. https://t.co/frNh3rBPmw,2,2
3151,1080569658040823816,"January is National Slavery &amp; Human Trafficking Prevention month. In this century, women, men, and children should not be subjected to this horrific crime &amp; I will continue to help lead efforts in Congress to stop it. #EndTrafficking",1,1
2896,909802968203038721,"Our governors know that if one state gains funds at another state's expense, they can lose those funds and more when political winds change https://t.co/23loUoad6z",1,1
1858,396350510955261952,RT @RoyBlunt: Only six people enrolled in health insurance via #Obamacare exchanges on the website’s first day. http://t.co/Cr9L0qvc9n,1,1
263,1422189545974550534,We can all support roads and bridges but not a reckless tax-and-spending bill. https://t.co/H2jmMZn8c6,1,1
3297,1080877069993734145,"Congratulations to all the new Senators and Members of Congress.  

Look forward to a productive 2019.",3,3
804,585867162113466369,"On this day in 1903, Pres. Theodore Roosevelt began his visit to Wyo. w/ a tour of @YellowstoneNPS. #WyoHistory http://t.co/nNQM9WUT60",3,3
510,426054501816999937,Denial of fed resources to Washington #IL after Nov. tornadoes shows why @FEMA must reassess their aid methodology. http://t.co/cZ6cxLU2Zh,1,1
2648,909105522388979712,The Hill: GOP senator calls for caps on ex-presidents' benefits https://t.co/S9zLTu6ZEe,1,1
652,499977259915042816,RT @MinnesotaDFL: #DFL100 Day 19: Join #TeamFranken and be part of a people-powered campaign: http://t.co/3itXD3OMIr,3,3
246,1455659171559391235,"Such heartbreaking news. Kris and I extend our deepest condolences to @SenatorRounds, the entire Rounds family, and everyone who knew and loved Jean. https://t.co/ePekf8e6Op",3,3
2566,908839580367036416,Sent a letter just last month critizing this coercive move by the Admin that'll only make our communities less safe: https://t.co/B7Amjozu5z,2,2
2068,268047150032773120,RT @DeptVetAffairs: Secretary Shinseki talks to @woodwriter about progress and challenges at VA http://t.co/SUMGyKv8,3,1
1291,775711623117959168,"We need honest leaders like @Heck4Nevada for a safer nation and brighter future. 
https://t.co/v4XlSSB6aR",3,3
1547,1044590681296121856,"The Every Student Succeeds Act gave Tennessee, in @Mrs_C_Hines’ words, “a real opportunity for our state to build on the progress we’ve made and enact change, particularly in traditionally-underserved communities.”",2,2
651,475768868091461632,We need your help if we're going to win this thing in November--find a #TeamFranken grassroots event near you: http://t.co/gKFqhBIhtR,3,3
747,641267953749639170,Glad you can join us! MT @IgniteFeedback: Excited to be a panel member at the @mthightechjobs Summit next week!,3,3
2217,908676304362508289,Our national debt recently surpassed $20 trillion. Time is now to address tax reform &amp; mandatory payment programs https://t.co/5VvQzU9peZ,1,1
734,577591719996190720,"After pushing on @HHSgov, uninsured folks can enroll in health care coverage now-April 30 2 avoid 2015 tax penalties https://t.co/pPnyo5IBx6",1,2
498,531974192468873216,Perfect time to visit Bear Swamp State Forest in Sempronius for fall hiking &amp; mtn biking #NYtownoftheday,3,3
3410,1080935547563134977,Glad to be back in Washington fighting for the 28 million Texans alongside my friend and fellow Senator @JohnCornyn. #116thCongress https://t.co/56NjY4POwh,3,3
2065,283631813493157888,"Theo, Henry, Jonathan &amp; I are having a wonderful holiday w/our family here in NY. Wishing you all a Merry Christmas! http://t.co/EBYczoVr",3,3
405,1387537963316387842,"New Mexico has the worst methane emissions in the nation; these emissions pollute the air we breathe, endanger our environment, and harm our economy. 

Today’s bipartisan action to reinstate commonsense methane emission standards was the right thing to do. https://t.co/EIQvOPBvuo",2,2
2128,263032599377739777,"On the road today, Tammy’s spreading the word about all that’s at stake in this election. #WIsen #WINsconsin",3,3
2037,159649496647741442,Thanks! MT @CzarofLiberty: Looks like @Tedcruz has picked up steam! All my TX tweeps need to follow Ted http://t.co/WWdEKZQg #txsen,3,3
966,676452089309077505,Americans Name Terrorism as No. 1 U.S. Problem via @gallup https://t.co/dk9QtvUaLr,1,1
355,1426025461541445634,"RT @HerbertRSim: Full of respect for @SenLummis @CynthiaMLummis!

Thank you for spreading #Crypto #Blockchain education within 🇺🇸 senate! 💪…",1,3
2633,909088743306465280,Here are some photos from this morning’s workshops at #LeahyWEOC @vttech https://t.co/nl5p2jUuws,2,3
129,1357598146902245378,@DavidTheNonBot @kim Just showed this to Bernie and he laughed.,3,3
276,1454834999442685952,"RT @NRSC: Chairman @ScottforFlorida: 2022 is going to be a great year for Republicans.

What we are seeing from @GlennYoungkin's #VAgov rac…",3,3
1160,783718007562534913,Nevada Native Nation's Land Act awaits POTUS signature in order to benefit several tribes in #NV. READ MORE: https://t.co/jkQ7SB6p9a,2,2
2892,909802536646905858,"RT @SenWarren: The @SenateGOP Graham-Cassidy ""health care"" bill cuts Medicaid funding &amp; rolls back protections for people with pre-existing…",1,1
397,1378794005295726601,"In addition, Coastal Community Health Services in Brunswick will receive over $2.1 million, which CEO Barbara Meyers said will ""allow us to have expanded capacity to respond to COVID-19 pandemic,"" and get staff back to their primary jobs.

https://t.co/SAAQ1hgJjy",1,2
2422,908767823257841665,Thanks to Nice-Pak in Jonesboro for hosting a great “Made in America” event recently. https://t.co/FLR1JCfCI5,3,3
1466,1004441298546413570,It was great seeing Juan Palma &amp; other leaders from @Nature_Nevada to discuss renewable energy and important conservation programs benefiting our state. https://t.co/OtEUVX8XlG,1,1
958,641706912354975744,Bottom line: The #IranDeal does not dismantle regime’s nuclear weapons program. That was/should have remained the prerequisite of any deal.,1,1
1792,978435142007099392,RT @TomCarperforDE: My #MondayMotivation: you. https://t.co/h2Kzb5UfqK,3,3
783,614111356925681664,"I urge the Senate to support that provision &amp; bill so that we can avoid devastating impacts on the Alaskan economy, and across the country.",2,2
618,446050947534307328,Proud to stand with @nokidhungry tonight to help end child hunger in America,1,1
2764,909454360089890816,"OTDIH 1787: our founders signed the Constitution, a first step in what has become the greatest experiment in self-governance. https://t.co/kpS5qvfLLB",3,3
2368,908750366925258752,RT @CLINTHREED: action for @marcorubio team - over 800 people  at first Recovery Action Center (RAC) in Immokalee.  #TeamRubio #HurricaneIr…,3,2
3304,1080879709188169731,"Week after week of his presidency, more questions are raised about Trump’s financial dealings that could influence his decisions in the White House. This bill will create REAL oversight and transparency for the American public. #ReleaseTheReturns",2,2
1553,1072962036169105408,It’s an honor to have earned the “2018 Champion of Aid Reform” from @ModernizeAid along with such leaders as Foreign Relations Committee Chairman @SenBobCorker and @ChrisCoons for our work to improve the effectiveness of U.S. foreign assistance. https://t.co/NmiHmYYvQ4 https://t.co/LcknUCxhs4,1,1
2771,909460440186417152,"As @toledonews said in their recent editorial, ""lawmakers need to act with a sense of urgency"" &amp; pass the #STOPAct:https://t.co/eBp7Juut35",2,2
2736,909434129246191617,We must take #GrahamCassidy health care repeal bill seriously and speak out NOW. We cannot let this pass https://t.co/JSXaysMpdn,1,1
1777,1060669166829662208,"I'm proud to have the support of law enforcement officers from all across our state! These officers take risks in defense of our homes and families each and every day, and on the behalf of all Mississippians, we are grateful for your service. We MUST stand up for our police! https://t.co/Vs5EN0Lym1",3,3
173,1418641621403512848,"RT @theMRC: When asked if the Biden administration should work with Big Tech companies to censor what it considers to be ""misinformation,""…",1,1
755,598933371234856960,Add your name to stand with #TeamRonJon and against Washington insider and career politician Russ Feingold: https://t.co/kstH7jh68O,3,3
117,1422601404816920576,"For people with disabilities like @Tuesdaywithliz, the #BetterCareBetterJobs Act’s investments in home and community-based services would improve their lives dramatically and help them get the support they need to live independently. https://t.co/Ots6NDGW1F",2,2
2429,908773516593508352,Proud to cosponsor #PCHETA – bill to help NE patients struggling w/ serious illnesses like #Alzheimers &amp; #Cancer https://t.co/AOkLXKOkcm,2,2
1288,716319654893920256,"We're here today b/c we all know what's at stake in this election. For too long, DC politicians have been failing the American people.",3,3
2742,909434601340391427,RT @CoryBooker: The threat is real! We must let our voices be heard. Don't be silent. Help stop this craven repeal of healthcare for millio…,1,1
2611,909061433446543360,"RT @ChangeStoryVT: @SenatorLeahy: ""Invest in our young people."" @BEGREATVT #LeahyWEOC",1,3
524,492378294428635136,#FAIRAct will ensure that govt agencies no longer profit from taking the property of citizens w/o due process: http://t.co/EZthUTSjA4,2,2
687,496634913874251776,Gary got the chance to hear from workers yesterday after touring Atlas Sales in Battle Creek. #TeamPeters http://t.co/qeuihL3Cjr,1,3
2164,209719906718064640,Great to be with the Chatham Co. GOP this morning. Will be speaking at Sav. Country Day High School graduation later http://t.co/4hfiPc1J,3,3
3094,1080516539814739968,https://t.co/woXxgFyR17,3,3
2012,270356894592409600,Clever quip But all can &amp; should help. We won't get there dividing or vilifying but by uniting MT @riverracket maybe private equity cud help,1,1
1395,997248747665899520,"I have tremendous respect for most of the professionals at @StateDept But a few have bad habit of trying to undermine current administration when they think no one is watching. As I said several weeks ago,with Pompeo &amp; Bolton in place those days are over
https://t.co/gipbQac7FW",1,1
3178,1080589268634996736,"The inclusion of the FARMERS First Act in the #FarmBill will provide the ag community with necessary mental health programs, such as a crisis help line and suicide prevention training for farm advocates during tumultuous times for our producers. More ⬇ https://t.co/vQsLbagYKZ",2,2
3460,1080952343712186368,Very pleased to be with @SenatorWicker today as he was sworn in for a new term. Look forward to working with him in the 116th Congress to benefit our great state and nation. https://t.co/lZPkLuoyJS,3,3
1510,1045735386310475777,"RT @pkcapitol: This is not up to McConnell &amp; Schumer, Graham is wrong. Flake says he has the votes to block the nomination from being voted…",1,1
37,1431012830753529862,This idea - that had we stayed in Afghanistan the ceasefire with the Taliban would have magically continued and no Americans would have died - is a total complete lie that reputable publications keep reprinting.  https://t.co/G8elEGza0s,1,1
1106,793105930451836929,The Clinton-Obama “reset” policy on Russia has failed. We should have been tougher on Russia from the beginning. #nhpolitics,1,1
90,1397673905825931268,"And the Little Engine That Could, did!!! Bravo.  
https://t.co/stviscotTh",3,3
634,499209433998979072,Were these $128 billion settlements a good deal for our country? That's why I introduced the Truth in Settlements Act http://t.co/JmGX2ye8eF,2,2
1311,803705311412555782,I spoke with @NewsOK about working with the Trump admin to roll back Obama's heavy-handed environmental regs. https://t.co/3NUfOr9AtQ,1,1
3352,1080908677375090688,Would never have thought this would ever happen—that I would become a constitutional officer of the United States. It’s an honor to serve as president pro tem of the US Senate for the… https://t.co/IwO7drtX0G,3,3
2543,908822021739556865,My office is working w/the Carbon County VA to give veterans of the Korean War the medals they rightfully earned: https://t.co/ygB2iUlDFH,2,2
2338,908738580641705985,I’m glad the Senate passed our bipartisan Jobs for Heroes Act yesterday. I hope the House will pass it soon. https://t.co/3TNSO1Q9cM,2,2
2837,909771395000934400,RT @politico: Conway: New Obamacare repeal effort 'gaining in support and steam' https://t.co/66pmqt6z7Q https://t.co/jCR2JUjRUF,2,2
3480,1080959881807568901,"Amazing to have you with us, @SenJackyRosen. The Senate needs your voice. https://t.co/DCIMJJCsyF",3,3
16,1451289890763726849,"Because of Senate R obstruction, the U.S. is operating with a depleted diplomatic corps. This poses risks to our national security &amp; the safety of Americans at home &amp; abroad. This isn’t about policy or principle for Senate Rs: it’s a political game. The obstruction has to stop.",1,1
2409,908760327860482048,"At 844 feet long, The Tripoli (LHA-7) will support a crew of more than 1000 @USNavy Sailors &amp; almost 2000 @USMC Marines. #355Ships https://t.co/Pto5yqpjks",3,3
2932,909814282510008320,"@USDOT Flooded out ""zombie cars"" can be cleaned up to fool buyers, but serious dangers remain. @USDOT must act to avert further tragedy.",1,1
1682,1059884978769559552,"RT @Culinary226: Culinary Union members are giving voters rides to the polls, call: (702) 383-7917. 
🗳Vote for our families. Vote for ☑ @Ro…",3,3
2989,1079974525461323776,Happy New Year! Wishing you and yours a happy and healthy 2019!,3,3
704,526821394274082816,@Appledajuggler Thanks for the support!,3,3
2885,909799579008344064,Happy 70th Birthday @usairforce. I’m proud to honor our Air Force and the #Airmen who make it exceptional. #AFBday https://t.co/d1vHZdPZCl,3,3
1229,771091977123225600,"RT @juliaritchey: ""One need only gaze at these emerald waters to see the progress we've made to Keep Tahoe Blue"", says @SenatorReid. https:…",3,3
1541,971782952303685632,We can and must do more to keep our children safe in school. This bill is a step forward by providing schools with additional resources they need to improve safety measures. Read more on the School Safety &amp; Mental Health Services Improvement Act: https://t.co/gcWRxNgESR,2,2
988,730428498351792128,"Congress has responsibility to protect families/communities &amp; address #ZikaVirus like the public health crisis it is
https://t.co/wVDOokq6aK",1,1
1099,737988763138314240,Read the stories of everyday Americans badgered and harassed by their own government: https://t.co/4FwB2o6SpG https://t.co/EPiX3mh9pI,1,1
2623,909081696439386113,That is why I am working hard to get #SESTA into law. It will help hold accountable companies like #Backpage that traffic women &amp; children.,2,2
906,661964703204311040,RT @SenateAgGOP: A win for America's farmers and ranchers: #Ag Cmite Member @SenJoniErnst's #WOTUS joint resolution passes Senate on 53-44 …,2,2
2154,155383147595431936,VIDEO: Maria visits GE Aviation in #Yakima to discuss growing WA's aerospace industry: http://t.co/IYxEdHdS,1,3
1787,1006993683135320064,It was an honor to meet with Ambassador @MemeEspina from Guatemala. Guatemala is a vital U.S. partner in drug interdiction efforts. https://t.co/H81fEPtZak,1,1
431,1445437632968802310,"Republicans are a party that wants to grow the economy,while Dems want to grow the government.

They are misleading the people by saying this reckless spending bill is free when it's not. People are feeling the effects of inflation &amp; it'll only get worse if this bill gets passed. https://t.co/WRWN8r3d0H",1,1
1680,1055202349751459856,"Your vote matters, Illinois. If you’re ready to make a difference, don’t wait for Election Day -- vote early: https://t.co/CKDSszXByT #BeAVoter",3,3
32,1367138039730995205,Federal courts are increasingly skeptical of executive orders and agency edicts. This is going to be a problem for the Biden administration’s agenda. https://t.co/4krO6QTAs1 via @WSJ,1,1
3454,1080949678378754048,"Instead of making voting easier, Trump &amp; special interests want to make it harder in order to pursue their anti-democratic agenda that rewards only the powerful, hurting regular Americans. My bill will put an end to barriers and make voting easier for all. #VoteByMail",2,2
3315,1080889452401229825,"Instead of working with us to secure the border and lower health care costs, Washington Democrats are focused on impeaching President Trump. What a waste of taxpayer resources!

https://t.co/UN63O975ko",1,1
2914,909807219901960192,WVians like Jan &amp; Sheena are leading their community’s fight to curb the drug epidemic. Honored to recognize them at Recovery 4 a Change. https://t.co/7LZI9j363T,1,1
1220,759057207329689600,It is disappointing that the IL AG is covering up @TammyforIL  horrible treatment of VA whistleblowers -RW.  https://t.co/qrUTbuT7Ws #ILSEN,1,1
2433,908773940079857664,RT @autodealerstx: Thank you @JohnCornyn for meeting with our dealers and supporting recovery from #HurricaneHarvey https://t.co/aLDz0iYJml,3,1
1644,972199176846135296,But we haven’t received any of these commitments from North Korea to date. 5/11,3,3
3040,1080208152782491648,Wishing you and your loved ones a healthy and safe 2019 https://t.co/4AOH0nyY1U,3,3
1885,347114877829144576,#SecretLaw shouldn’t be used to infringe on ordinary Americans’ civil liberties. @MarkUdall &amp; I working to end this http://t.co/LXdDZLsw0y,2,2
2950,909822994201088000,"Heading back to Washington this afternoon – always wish I could stay a bit longer in Maine, but lots of important work to be done.",3,3
375,1352442998123016192,This is unacceptable and must be fixed. All week these troops have been protecting the Capitol. I’ll be making my office available for any guardsmen who need it and encouraging others to do the same. https://t.co/DoV7nF9Knt,3,3
371,1345834741405257729,"J - O - H - N   H - I - C - K - E - N - L - O - O - P - E - R

Took a minute to get it all down, but proud to make it official! https://t.co/uXwNMVPWyV",3,3
3184,1080592161907847170,"People have a right to clean water. But millions of Americans are being poisoned by their drinking water as a consequence of negligent regulation. Truly transformational climate action will aim to deliver environmental justice for all.
https://t.co/zwtPpWP1eg",1,1
1666,954133551120871424,Met w/ @DHSgov Sec. Kirstjen Nielsen to discuss ongoing border security &amp; immigration reform efforts. Discussed increasing cap on the # of H2B visas so our seasonal tourism &amp; construction industries can thrive. https://t.co/EvdImx0yLo https://t.co/Yhv4txX1gj,1,1
1464,1019349238768160770,"My office joined @tmccnevada Veteran Services &amp; the Military Order of the Purple Heart Chapter 719 to recognize the sacrifices made by our nation’s wounded vets. This truck, custom-made for veterans’ use, is travelling across the country before being gifted to an @USArmy veteran https://t.co/pxgK8hX9K7",2,3
2638,909095744979767298,My statement on the court injunction against Trump admin’s attempt to cut off key funding that fights crime in IL → https://t.co/dDVrNJZ9Bt,2,2
835,676909641822035969,RT @MangledCat: #CruzCrew: Cheer on @tedcruz and help put tonight's #CNNDebate on #CruzControl: https://t.co/sUYz6MFGy6 RT + tune in at 8:3…,3,3
151,1429922984056303617,"Since the pandemic began, there have been more than 9,000 anti-Asian hate incidents across the United States. As we continue to confront this racism and bigotry, @DOJ_CRS has resources for communities to address these incidents. More here: https://t.co/cw8m32398e",1,1
826,620970150272073728,Speaking on the Senate floor now on my #schoolchoice amendment to #ESEA. http://t.co/d2GchU6my5,2,2
1119,723978340969906176,At new #FisherHouseWI w/ wounded warriors #MedalofHonor recipient Gary Wetzel &amp; @SenRonJohnson staffer Jason Church https://t.co/5FhSC7WIPy,3,3
266,1465420649992761351,"The families of those who fought &amp; died in the Global War on Terrorism should not have to wait any longer for a #GWOTMemorial on the National Mall. 

We need to get my bipartisan effort with @SenatorHassan across the finish line. https://t.co/Y0rbtEyjGR",2,2
711,526076857800613888,I was at Bozeman headquarters making calls today to get out the vote. Join me &amp; volunteer! #mtsen #mtpol http://t.co/QDtCqYqEcg,3,3
727,495589610521903104,RT @MonaAbdi13: Senator @MarkWarner holds a women buisness leaders roundtable in #Lynchburg http://t.co/9OP1PlWMGE,3,3
1216,773932726646812672,I’ll be speaking on the Senate floor at 1:30 to call for funding to fight the drug epidemic. You can watch here: https://t.co/DEpxO4jHKt,1,1
179,1370544766316908552,"I haven't forgotten Breonna Taylor.

As our nation marks one year since her slaying tomorrow, I proudly re-introduced my Police Training and Independent Review Act — a step we must take on our path to racial justice, police reform and preventing all tragedies like Breonna's. 1/4 https://t.co/r08Wn7hB0x",2,2
1078,757982099970326529,".@PurdueUnivNews, @LockheedMartin team up for @SandiaLabs R&amp;D competition. #GoodNews https://t.co/eJFFkqwM2d",3,3
2441,908775950485262337,"Honored to celebrate #Boston Harbor Dredging Project, which will help fuel the harbor as an economic engine for the entire region. https://t.co/qIQkmziB3P",3,2
2444,908777239130537984,"Yesterday, Sen. McConnell cut off debate on the defense bill and we didn't get to vote to protect trans service members. I'm outraged.",1,1
2659,909121206850342913,Thanks to everyone who came out to join me for Congress on Your Hike this afternoon in Orange! https://t.co/qhtOBVg4g7,3,3
2245,908699818939359233,Our thoughts and prayers are with our friends in #London after today’s terror attack. https://t.co/VoPrTIyGxJ,3,1
1222,728374048686645248,American are impacted by the FCC and its rulemaking process. RETWEET if you support consumer oversight of the FCC!,1,1
3219,1080644917771362305,"Speaking with @foxnews @seanhannity tonight at 9:15 pm about wall-border security funding and the government shutdown.  

Tune in!",1,3
110,1367242684478365696,"Building back better means investing in a healthier, more equitable, clean energy economy that leaves no one behind. The THRIVE Agenda will put millions back to work in justice-driven projects that will benefit us all. #GoodJobsForAll https://t.co/zKBQzbV7Wo",1,1
1448,1026527473872384007,"RT @humanitiesmag: During his exile from the USSR, Aleksandr Solzhenitsyn lived in the tiny village of Cavendish, Vermont. His wife became…",3,3
416,1455293691220922369,My thoughts on the President’s Working Group Report on Stablecoins ➡️➡️➡️ https://t.co/zSxM7w8Diq,1,3
348,1407018849820680212,"The senators raised concern with the rules—2021R-05 and 2021R-08— that would require the retention of firearms transaction records forever, paving the way to a national gun registry &amp; clamp down on pistol braces and other devices possessed by thousands of law-abiding gun owners.",1,1
2274,908714853350682624,Started the day in Wallingford talking with local manufacturers and the Chamber of Commerce about my new https://t.co/qlBqEOXgHg bill https://t.co/LC8wNj6JrD,2,3
214,1407386144468254723,"No matter which way Democrats sell their elections power-grab, reality doesn’t change: It’s always been a plan to rewrite the ground rules of American politics. And today, the Senate will reject it. https://t.co/SWpQr1wicO",3,1
1870,378627269318565888,Gmar Chatima Tova to all those observing Yom Kippur. May you be inscribed in the book of life.,3,3
2076,265579612472475648,On the 60 Minutes/CBS News controversy regarding President Obama and Benghazi http://t.co/udb5E96L,1,1
827,682557022861156352,Who’s ready for the #OrangeBowl tonight? #GoTigers @ClemsonFB,3,3
2201,908649980482727936,RT @TomCottonAR: @CIA Director Mike Pompeo &amp; @MichaelJMorell get results. Thank you for standing up for our troops &amp; intelligence officers.…,2,2
2266,908709567210586115,"On National #POWMIARecognitionDay, we solemnly remember the sacrifices made to defend our nation and those who have yet to return home. https://t.co/7x8F5mKVXJ",3,3
56,1474136937434947594,"The best protection against hospitalization and death from COVID and the Omicron variant is getting vaccinated.

Get vaccinated. Get boosted. And stay safe. https://t.co/kgSr79IlHK",1,1
295,1367236340404932615,Learn more about this bipartisan bill here: https://t.co/nOVVtrQyge,2,2
2424,908769352471760896,"RT @timkaine: Anthem staying in VA is great news. Proud of our joint efforts on this w/ @GovernorVA, @MarkWarner &amp; others. More work ahead…",2,2
71,1474759045806317572,"I’d also like to thank their families and loved ones. It’s hard to be away from the people you love, especially during the holidays. We owe so many of our blessings to the countless sacrifices they make every day.",3,3
432,1407377624373108747,"Reciting the Pledge of Allegiance is an honor. Why would the mayor of Silverton, Colorado suspend it? Actions like this will destroy and divide our country, not unite it. 
https://t.co/UAnGsssQUA",1,1
2514,908800559964196864,The DeLauro Family Table statue in Wooster Square park. RIP Luisa DeLauro. https://t.co/r34unMDwQy,3,3
